Sequence: 	 Trans. err. (%): 	 Rot. err. (deg/100m): 	 ATE (m): 	 RPE (m): 	 RPE (deg): 
0 	 0.70808 	 0.24270 	 1.35367 	 0.019 	 0.060 
1 	 1.46499 	 0.22667 	 10.16371 	 0.047 	 0.039 
2 	 0.78415 	 0.24686 	 6.89902 	 0.023 	 0.051 
3 	 0.70294 	 0.16947 	 0.69302 	 0.015 	 0.043 
4 	 0.46176 	 0.14933 	 0.17834 	 0.019 	 0.036 
5 	 0.41076 	 0.17723 	 0.78321 	 0.014 	 0.043 
6 	 0.50047 	 0.15389 	 0.71410 	 0.015 	 0.035 
7 	 0.50793 	 0.29016 	 0.53551 	 0.013 	 0.038 
8 	 1.02056 	 0.30941 	 3.54167 	 0.025 	 0.045 
9 	 0.87578 	 0.30373 	 1.64308 	 0.019 	 0.047 
10 	 0.63439 	 0.28670 	 1.15574 	 0.015 	 0.050 
