Sequence: 	 Trans. err. (%): 	 Rot. err. (deg/100m): 	 ATE (m): 	 RPE (m): 	 RPE (deg): 
0 	 0.96595 	 0.29260 	 2.46043 	 0.024 	 0.062 
1 	 1.46667 	 0.22783 	 10.16412 	 0.047 	 0.039 
2 	 1.10490 	 0.33825 	 10.71058 	 0.028 	 0.055 
3 	 0.72302 	 0.18376 	 0.70533 	 0.016 	 0.044 
4 	 0.48679 	 0.14555 	 0.18059 	 0.020 	 0.037 
5 	 0.80538 	 0.33053 	 2.76982 	 0.018 	 0.045 
6 	 0.69712 	 0.28758 	 1.09708 	 0.016 	 0.037 
7 	 0.90376 	 0.47533 	 1.58411 	 0.017 	 0.042 
8 	 1.02493 	 0.31174 	 3.53990 	 0.025 	 0.048 
9 	 0.81132 	 0.23974 	 2.85418 	 0.025 	 0.050 
10 	 0.64239 	 0.29206 	 1.15560 	 0.016 	 0.053 
